"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0060066","oviduct development",0.000843025227298566,21,5.62690006159316,5.59493926114623e-10,1.33220792556447e-08,263876,1,7,2.07864530060234,0.3925573538983,0.709508873020114,5.62690006159316,"oviduct development",1.33220792556447e-08,7.875427986969,"mouse_specific"
"GO:1901299","negative regulation of hydrogen peroxide-mediated programmed cell death",0.000933232613972388,22,5.32504461795658,6.0162478855526e-10,1.42543378120073e-08,212184,2,11,2.64554856440298,0.172106441713288,0.586625100161719,5.32504461795658,"negative regulation of hydrogen peroxide-mediated programmed cell death",1.42543378120073e-08,7.84605295311924,"mouse_specific"
"GO:0072025","distal convoluted tubule development",0.000534525495371274,17,7.18407693733357,6.78218694237971e-10,1.59115425030536e-08,80100,3,5,8.73031026252983,0.00291488648861925,0.236175136599112,7.18407693733357,"distal convoluted tubule development",1.59115425030536e-08,7.79828771676495,"mouse_specific"
"GO:0072221","metanephric distal convoluted tubule development",0.000534525495371274,17,7.18407693733357,6.78218694237971e-10,1.59115425030536e-08,80100,3,5,8.73031026252983,0.00291488648861925,0.236175136599112,7.18407693733357,"metanephric distal convoluted tubule development",1.59115425030536e-08,7.79828771676495,"mouse_specific"
"GO:0046890","regulation of lipid biosynthetic process",0.017800857777716,138,1.75117131257463,6.94530842953771e-10,1.62147542164719e-08,240959,24,211,1.65503512085874,0.0104151358231265,0.294951716269131,1.75117131257463,"regulation of lipid biosynthetic process",1.62147542164719e-08,7.79008962998447,"mouse_specific"
"GO:0032849","positive regulation of cellular pH reduction",0.000857791783144263,21,5.53003513978999,7.57534172353859e-10,1.75997987809979e-08,173640,1,6,2.42508618403606,0.347713552515212,0.686489224423375,5.53003513978999,"positive regulation of cellular pH reduction",1.75997987809979e-08,7.75449229745868,"mouse_specific"
"GO:0035864","response to potassium ion",0.00142246714701237,27,4.28757763985379,7.84050858101973e-10,1.81278618689664e-08,125542,3,19,2.2974500690868,0.138190120012449,0.55812482226125,4.28757763985379,"response to potassium ion",1.81278618689664e-08,7.74165341671359,"mouse_specific"
"GO:0010762","regulation of fibroblast migration",0.00429315928013755,51,2.68338910797916,8.38726419851082e-10,1.92987723336888e-08,381740,2,46,0.632631178444191,0.834208254430977,0.916977654043789,2.68338910797916,"regulation of fibroblast migration",1.92987723336888e-08,7.71447031719236,"mouse_specific"
"GO:0099605","regulation of action potential firing rate",0.000778836801280727,20,5.80061457170175,8.54956779913762e-10,1.95781011897955e-08,266756,1,5,2.91010342084328,0.2995620335765,0.656724913582535,5.80061457170175,"regulation of action potential firing rate",1.95781011897955e-08,7.70822943116323,"mouse_specific"
"GO:0006939","smooth muscle contraction",0.0135256811566234,112,1.87046400536626,8.73705558666057e-10,1.99121657322655e-08,397720,11,111,1.44194313645388,0.140722470418353,0.565251968609008,1.87046400536626,"smooth muscle contraction",1.99121657322655e-08,7.70088150167925,"mouse_specific"
