"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0071806","protein transmembrane transport",0.00593945551649783,30,2.04327186160205,0.000283442242532107,0.00160745080312173,94846,19,72,1.64559419631019,0.0167365508290152,0.0572238501808764,2.04327186160205,"protein transmembrane transport",0.00160745080312173,2.79386231001165,"conserved_human_in_mouse"
"GO:0000724","double-strand break repair via homologous recombination",0.00972156650294001,43,1.7893023723298,0.000284985457775128,0.00161452260381959,140515,30,166,1.12697636779645,0.265446153474469,0.383836969072926,1.7893023723298,"double-strand break repair via homologous recombination",0.00161452260381959,2.79195587034617,"conserved_human_in_mouse"
"GO:0014009","glial cell proliferation",0.0134197950470538,55,1.65793820699191,0.000292304557677739,0.00165426774594359,188919,24,81,1.84768471164653,0.00152825107708573,0.0093374084866785,1.65793820699191,"glial cell proliferation",0.00165426774594359,2.78139419782141,"conserved_human_in_mouse"
"GO:0032964","collagen biosynthetic process",0.0048535696585984,26,2.167023467793,0.000295264453961612,0.00166928555403609,40456,18,65,1.72687455742348,0.011891574728169,0.0449658203105796,2.167023467793,"collagen biosynthetic process",0.00166928555403609,2.77746936497782,"conserved_human_in_mouse"
"GO:0010717","regulation of epithelial to mesenchymal transition",0.0137476661299351,56,1.64782309002399,0.000299646995685505,0.00169230686682487,96536,30,96,1.9487299693147,0.000151272208094793,0.00140448642950021,1.64782309002399,"regulation of epithelial to mesenchymal transition",0.00169230686682487,2.77152088332715,"conserved_human_in_mouse"
"GO:1990573","potassium ion import across plasma membrane",0.0054069301946581,28,2.0948783197931,0.000301748880063475,0.00170241345377426,121266,19,48,2.46839129446528,7.642877686797e-05,0.000797963283391641,2.0948783197931,"potassium ion import across plasma membrane",0.00170241345377426,2.76893495724405,"conserved_human_in_mouse"
"GO:0006839","mitochondrial transport",0.00486166310802459,26,2.16341591736175,0.000302631565112146,0.00170517115365472,89144,18,87,1.29019363485663,0.149502865437064,0.263076297425393,2.16341591736175,"mitochondrial transport",0.00170517115365472,2.76823202291357,"conserved_human_in_mouse"
"GO:0071963","establishment or maintenance of cell polarity regulating cell shape",0.000355749105925179,6,6.82274227986367,0.000302863426924361,0.00170517115365472,76193,3,6,3.11796795090351,0.0563350271744139,0.135792082308959,6.82274227986367,"establishment or maintenance of cell polarity regulating cell shape",0.00170517115365472,2.76823202291357,"conserved_human_in_mouse"
"GO:0150117","positive regulation of cell-substrate junction organization",0.00354543814543031,21,2.39607779986722,0.000304182953600284,0.0017100201973647,56768,13,41,1.97724796886564,0.00953102978608929,0.0379708423495516,2.39607779986722,"positive regulation of cell-substrate junction organization",0.0017100201973647,2.76699876004513,"conserved_human_in_mouse"
"GO:0019319","hexose biosynthetic process",0.00624664876145024,31,2.00754893597095,0.000304352218613534,0.0017100201973647,88482,20,104,1.1992184426552,0.22081766686464,0.337401097657734,2.00754893597095,"hexose biosynthetic process",0.0017100201973647,2.76699876004513,"conserved_human_in_mouse"
"GO:0021924","cell proliferation in external granule layer",0.0025553584016987,17,2.6912164842122,0.000306430657137898,0.00171815543354068,206923,14,18,4.85017236807213,1.16326492918418e-08,2.99046880379894e-07,2.6912164842122,"cell proliferation in external granule layer",0.00171815543354068,2.7649375501232,"conserved_human_in_mouse"
"GO:0021930","cerebellar granule cell precursor proliferation",0.0025553584016987,17,2.6912164842122,0.000306430657137898,0.00171815543354068,206923,14,18,4.85017236807213,1.16326492918418e-08,2.99046880379894e-07,2.6912164842122,"cerebellar granule cell precursor proliferation",0.00171815543354068,2.7649375501232,"conserved_human_in_mouse"
"GO:0048841","regulation of axon extension involved in axon guidance",0.00255604637347383,17,2.6904921307728,0.000307356704406621,0.00172157660741633,170585,6,15,2.49437436072281,0.0229048428326603,0.0723660251814486,2.6904921307728,"regulation of axon extension involved in axon guidance",0.00172157660741633,2.76407364711676,"conserved_human_in_mouse"
"GO:0045191","regulation of isotype switching",0.00232030020626515,16,2.78950624229936,0.000309236058727268,0.00173032496926448,110844,11,35,1.95986556913935,0.0176333484930096,0.0593587086392231,2.78950624229936,"regulation of isotype switching",0.00173032496926448,2.76187232513443,"conserved_human_in_mouse"
"GO:0051933","amino acid neurotransmitter reuptake",0.000357326385624335,6,6.79262591196153,0.000309992013954538,0.00173100048775844,146689,4,5,4.98874872144562,0.00287781592345879,0.0151977682004364,6.79262591196153,"amino acid neurotransmitter reuptake",0.00173100048775844,2.76170280974981,"conserved_human_in_mouse"
"GO:0051935","glutamate reuptake",0.000357326385624335,6,6.79262591196153,0.000309992013954538,0.00173100048775844,146689,4,5,4.98874872144562,0.00287781592345879,0.0151977682004364,6.79262591196153,"glutamate reuptake",0.00173100048775844,2.76170280974981,"conserved_human_in_mouse"
"GO:0031669","cellular response to nutrient levels",0.0205334047387957,77,1.51698501588795,0.00031292917020032,0.00174459861445149,62632,58,253,1.42958214349726,0.00254540628784821,0.0140980327934682,1.51698501588795,"cellular response to nutrient levels",0.00174459861445149,2.75830447677382,"conserved_human_in_mouse"
"GO:0046545","development of primary female sexual characteristics",0.0163135326960509,64,1.58702398308907,0.000313067421088726,0.00174459861445149,152377,35,125,1.74606205250597,0.000485050136280519,0.00366646774303582,1.58702398308907,"development of primary female sexual characteristics",0.00174459861445149,2.75830447677382,"conserved_human_in_mouse"
"GO:0042059","negative regulation of epidermal growth factor receptor signaling pathway",0.00232321606363541,16,2.78600514635597,0.00031344179982059,0.00174490072423107,150736,6,26,1.43906213118624,0.228994058223776,0.347057179454834,2.78600514635597,"negative regulation of epidermal growth factor receptor signaling pathway",0.00174490072423107,2.75822927709742,"conserved_human_in_mouse"
"GO:0071260","cellular response to mechanical stimulus",0.00654937392645219,32,1.97652233085775,0.000320151560977189,0.00177733232674253,96585,23,68,2.10921361384649,0.000238939896608152,0.00205074399451091,1.97652233085775,"cellular response to mechanical stimulus",0.00177733232674253,2.75023135994012,"conserved_human_in_mouse"
"GO:0009411","response to UV",0.0116065392706323,49,1.7078309055178,0.000320187612886334,0.00177733232674253,67143,32,145,1.37620654384707,0.034333372450696,0.0964023080145768,1.7078309055178,"response to UV",0.00177733232674253,2.75023135994012,"conserved_human_in_mouse"
"GO:0032474","otolith morphogenesis",0.000359559546402405,6,6.75043811325484,0.000320308943250062,0.00177733232674253,264319,2,5,2.49437436072281,0.184157098314974,0.301579382757394,6.75043811325484,"otolith morphogenesis",0.00177733232674253,2.75023135994012,"conserved_human_in_mouse"
"GO:0021534","cell proliferation in hindbrain",0.00256567358233992,17,2.68039656371633,0.000320572050860166,0.00177733232674253,206923,14,19,4.5949001381736,3.76344561850036e-08,8.80290927932487e-07,2.68039656371633,"cell proliferation in hindbrain",0.00177733232674253,2.75023135994012,"conserved_human_in_mouse"
"GO:0060965","negative regulation of miRNA-mediated gene silencing",0.000844913742791201,9,4.30905134410726,0.000321677260687171,0.00178164742961899,18414,5,15,2.07864530060234,0.0783308315635732,0.171515882692436,4.30905134410726,"negative regulation of miRNA-mediated gene silencing",0.00178164742961899,2.74917823437342,"conserved_human_in_mouse"
"GO:0050854","regulation of antigen receptor-mediated signaling pathway",0.00570866230647153,29,2.05501586115217,0.000323499358223921,0.00178992030692424,167419,14,59,1.47971360381862,0.0803823089931668,0.175161953319297,2.05501586115217,"regulation of antigen receptor-mediated signaling pathway",0.00178992030692424,2.74716630479302,"conserved_human_in_mouse"
"GO:0048863","stem cell differentiation",0.0350921553029244,120,1.3833202577997,0.000327936055505034,0.00181262829868401,127352,70,257,1.69850394212643,3.10523293943786e-06,5.09744563853504e-05,1.3833202577997,"stem cell differentiation",0.00181262829868401,2.74169124410123,"conserved_human_in_mouse"
"GO:0009259","ribonucleotide metabolic process",0.0252338037459404,91,1.45884853925561,0.000334940068773859,0.00184946643851827,107063,63,349,1.12568470433766,0.167546647010647,0.286069492649252,1.45884853925561,"ribonucleotide metabolic process",0.00184946643851827,2.73295354523454,"conserved_human_in_mouse"
"GO:0043923","host-mediated activation of viral transcription",0.0010383164561365,10,3.89602555122549,0.00033674276440853,0.00185753852836689,81734,6,15,2.49437436072281,0.0229048428326603,0.0723660251814486,3.89602555122549,"host-mediated activation of viral transcription",0.00185753852836689,2.73106216950084,"conserved_human_in_mouse"
"GO:0030334","regulation of cell migration",0.112010712577756,332,1.19903002158396,0.000339013300436229,0.00186778362819119,129879,220,941,1.45792337768071,1.22859467412917e-09,3.76170841236178e-08,1.19903002158396,"regulation of cell migration",0.00186778362819119,2.72867343566764,"conserved_human_in_mouse"
"GO:0045214","sarcomere organization",0.00462898314089997,25,2.18477110427497,0.000339285466405373,0.00186778362819119,99463,17,51,2.07864530060234,0.00179296628720138,0.010609843936208,2.18477110427497,"sarcomere organization",0.00186778362819119,2.72867343566764,"conserved_human_in_mouse"
"GO:0071496","cellular response to external stimulus",0.00657760626595022,32,1.96803872037484,0.000344078766866866,0.00189225961596813,96585,23,69,2.07864530060234,0.000304639892015732,0.00249667279922668,1.96803872037484,"cellular response to external stimulus",0.00189225961596813,2.72301927911422,"conserved_human_in_mouse"
"GO:0042267","natural killer cell mediated cytotoxicity",0.00573161682543777,29,2.04678574005416,0.000344613671306294,0.00189329083530171,214428,17,89,1.19113382394067,0.25333745906714,0.36916822243741,2.04678574005416,"natural killer cell mediated cytotoxicity",0.00189329083530171,2.7227826673543,"conserved_human_in_mouse"
"GO:0031399","regulation of protein modification process",0.0389670224685977,131,1.3599583481339,0.000348647246248103,0.00191232082185943,122968,86,393,1.36460683856337,0.0013025717781176,0.00823868879877564,1.3599583481339,"regulation of protein modification process",0.00191232082185943,2.71843924622567,"conserved_human_in_mouse"
"GO:0009152","purine ribonucleotide biosynthetic process",0.00832590124165168,38,1.84630682476605,0.000348779247142802,0.00191232082185943,68715,26,138,1.1748864742535,0.213310316058979,0.328772970170089,1.84630682476605,"purine ribonucleotide biosynthetic process",0.00191232082185943,2.71843924622567,"conserved_human_in_mouse"
"GO:0032608","interferon-beta production",0.00410532935797012,23,2.26637287984649,0.000349689672746952,0.00191346256673784,256104,11,67,1.02381037193847,0.517350896579461,0.603502223107462,2.26637287984649,"interferon-beta production",0.00191346256673784,2.71818002950335,"conserved_human_in_mouse"
"GO:0032648","regulation of interferon-beta production",0.00410532935797012,23,2.26637287984649,0.000349689672746952,0.00191346256673784,256104,11,67,1.02381037193847,0.517350896579461,0.603502223107462,2.26637287984649,"regulation of interferon-beta production",0.00191346256673784,2.71818002950335,"conserved_human_in_mouse"
"GO:0060261","positive regulation of transcription initiation by RNA polymerase II",0.00437357680647129,24,2.21986220745279,0.000353018435688513,0.00192973969358314,79891,20,62,2.01159222638936,0.00117132619286755,0.00748385433895446,2.21986220745279,"positive regulation of transcription initiation by RNA polymerase II",0.00192973969358314,2.71450126988593,"conserved_human_in_mouse"
