"dataset","region_class","count","total","prop","prop_label","label_y"
"Mouse-specific","Promoter",1871,21834,0.0856920399377118,"9%",0.0428460199688559
"Mouse-specific","Enhancer",19963,21834,0.914307960062288,"91%",0.542846019968856
"Human-specific","Promoter",5221,55930,0.0933488288932594,"9%",0.0466744144466297
"Human-specific","Enhancer",50709,55930,0.906651171106741,"91%",0.54667441444663
"Conserved (human in mouse)","Promoter",1370,2566,0.533904910366329,"53%",0.266952455183164
"Conserved (human in mouse)","Enhancer",1196,2566,0.466095089633671,"47%",0.766952455183164
"Conserved (mouse in human)","Promoter",210,2566,0.0818394388152767,"8%",0.0409197194076383
"Conserved (mouse in human)","Enhancer",2356,2566,0.918160561184723,"92%",0.540919719407638
